date	observed	target
2026-03-01	41	3
2026-03-02	2	84
2026-03-03	38	65
2026-03-04	14	44
2026-03-05	46	70
2026-03-06	25	96
2026-03-07	32	73
2026-03-08	12	67
2026-03-09	23	47
2026-03-10	14	7
2026-03-11	18	27
2026-03-12	46	74
2026-03-13	1	25
2026-03-14	3	42
2026-03-15	17	7
2026-03-16	18	46
2026-03-17	12	90
date	observed	target
2026-03-18	9	36
2026-03-19	7	43
2026-03-20	2	61
2026-03-21	48	34
2026-03-22	19	43
2026-03-23	10	41
2026-03-24	52	56
2026-03-25	25	88
2026-03-26	26	52
2026-03-27	18	72
2026-03-28	26	75
2026-03-29	23	77
2026-03-30	24	33
2026-03-31	2	58
2026-04-01	18	16
2026-04-02	4	20
2026-04-03	2	68
2026-04-04	5	63
2026-04-05	33	39
2026-04-06	51	5
2026-04-07	6	23
2026-04-08	3	67
2026-04-09	29	95
2026-04-10	8	24
2026-04-11	21	1
2026-04-12	24	60
2026-04-13	32	35
2026-04-14	6	39
2026-04-15	20	46
2026-04-16	3	22
2026-04-17	22	62
2026-04-18	5	94
2026-04-19	34	73
2026-04-20	33	89
2026-04-21	26	82
2026-04-22	38	54
2026-04-23	17	5
2026-04-24	31	24
2026-04-25	50	93
2026-04-26	30	84
2026-04-27	25	48
2026-04-28	4	71
2026-04-29	48	44
2026-04-30	10	76
2026-05-01	38	45
2026-05-02	1	6
2026-05-03	27	68
2026-05-04	2	82
2026-05-05	14	55
2026-05-06	6	34
2026-05-07	3	50
2026-05-08	39	3
2026-05-09	3	78
2026-05-10	44	36
2026-05-11	5	24
2026-05-12	1	29
2026-05-13	35	20
2026-05-14	22	19
2026-05-15	23	42
2026-05-16	54	33
2026-05-17	52	96
2026-05-18	41	36
2026-05-19	2	9
2026-05-20	3	15
2026-05-21	10	3
2026-05-22	19	37
2026-05-23	18	3
2026-05-24	1	48
2026-05-25	8	38
2026-05-26	32	54
2026-05-27	13	37
2026-05-28	48	95
2026-05-29	18	30
2026-05-30	4	42
2026-05-31	17	38
2026-06-01	23	12
2026-06-02	34	76
2026-06-03	44	16
2026-06-04	39	59
2026-06-05	50	64
2026-06-06	54	2
2026-06-07	34	68
2026-06-08	31	45
2026-06-09	35	46
2026-06-10	35	17
2026-06-11	54	86
2026-06-12	39	62
2026-06-13	7	89
