date	baseline	target
2026-03-01	0	41
2026-03-02	0	2
2026-03-03	0	38
2026-03-04	0	14
2026-03-05	1	46
2026-03-06	1	25
2026-03-07	21	32
2026-03-08	4	12
2026-03-09	11	23
2026-03-10	1	14
2026-03-11	0	18
2026-03-12	0	46
2026-03-13	0	1
2026-03-15	0	17
2026-03-16	0	18
2026-03-17	0	12
2026-03-18	0	9
2026-03-19	1	7
2026-03-20	0	2
2026-03-21	0	48
2026-03-22	0	19
2026-03-23	0	10
2026-03-24	0	52
2026-03-25	0	25
2026-03-26	0	26
2026-03-27	0	18
2026-03-28	0	26
2026-03-29	0	23
2026-03-30	0	24
2026-03-31	0	2
2026-04-01	1	19
2026-04-03	0	2
2026-04-04	0	5
2026-04-05	0	33
2026-04-06	0	51
2026-04-07	0	6
2026-04-08	0	3
2026-04-09	0	29
2026-04-10	0	8
2026-04-11	3	24
2026-04-12	0	24
2026-04-13	2	34
2026-04-14	1	7
2026-04-15	0	20
2026-04-16	0	3
2026-04-17	0	22
2026-04-18	0	5
2026-04-19	0	34
2026-04-20	0	33
2026-04-21	0	26
2026-04-22	0	38
2026-04-23	0	17
2026-04-24	0	31
2026-04-25	0	50
2026-04-26	0	30
2026-04-27	0	25
2026-04-28	0	4
2026-04-29	0	48
2026-04-30	0	10
2026-05-01	0	38
2026-05-02	0	1
2026-05-03	0	27
2026-05-04	0	2
2026-05-05	0	14
2026-05-06	0	6
2026-05-07	0	3
2026-05-08	0	39
2026-05-09	0	3
2026-05-10	0	44
2026-05-11	0	5
2026-05-12	0	1
2026-05-13	0	35
2026-05-14	0	22
2026-05-15	0	23
2026-05-16	0	54
2026-05-17	0	52
2026-05-18	0	41
2026-05-19	0	2
2026-05-21	0	10
2026-05-22	2	21
2026-05-23	0	18
2026-05-24	0	1
2026-05-25	0	8
2026-05-26	0	32
2026-05-27	0	13
2026-05-28	0	48
2026-05-29	0	18
2026-05-30	0	4
2026-05-31	0	17
2026-06-01	0	23
2026-06-02	0	34
2026-06-03	0	44
2026-06-04	0	39
2026-06-05	0	50
2026-06-06	0	54
2026-06-07	0	34
2026-06-08	0	31
2026-06-09	0	35
2026-06-10	0	35
2026-06-11	0	54
2026-06-12	0	39
2026-06-13	0	7
2026-06-14	0	42
2026-06-15	0	23
2026-06-16	0	51
2026-06-17	0	46
2026-06-18	0	36
2026-06-19	0	35
2026-06-20	0	40
2026-06-21	0	38
2026-06-22	0	5
2026-06-23	0	43
2026-06-24	0	46
2026-06-25	0	14
2026-06-26	0	2
